,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
78,Erie County (North Central) PUMA,42932,21011,21921,33752,19551,14201,9180,1460,7720,26981,13526,13455,22239,12521,9718,4742,1005,3737,15701,7386,8315,11294,6962,4332,4407,424,3983,250,99,151,219,68,151,31,31,0
79,Saratoga County (South & Central) PUMA,44943,24480,20463,37936,23309,14627,7007,1171,5836,22396,11114,11282,18908,10574,8334,3488,540,2948,21535,12875,8660,18438,12295,6143,3097,580,2517,1012,491,521,590,440,150,422,51,371
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,46308,22110,24198,37066,20022,17044,9242,2088,7154,14717,5643,9074,13031,5544,7487,1686,99,1587,29162,14882,14280,22812,13460,9352,6350,1422,4928,2429,1585,844,1223,1018,205,1206,567,639
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",56005,27305,28700,47708,25170,22538,8297,2135,6162,22098,10713,11385,19579,10059,9520,2519,654,1865,32862,15742,17120,27491,14614,12877,5371,1128,4243,1045,850,195,638,497,141,407,353,54
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,46060,23830,22230,38560,21235,17325,7500,2595,4905,12335,5557,6778,10399,4552,5847,1936,1005,931,30732,16437,14295,25744,15089,10655,4988,1348,3640,2993,1836,1157,2417,1594,823,576,242,334
83,Niagara County (North & East) PUMA,43165,22901,20264,35490,20748,14742,7675,2153,5522,12496,5608,6888,11360,5502,5858,1136,106,1030,28322,15935,12387,22460,14020,8440,5862,1915,3947,2347,1358,989,1670,1226,444,677,132,545
84,Monroe County (Central)--Rochester City (East) PUMA,34484,17618,16866,26436,14281,12155,8048,3337,4711,11887,5745,6142,10372,5019,5353,1515,726,789,19535,9683,9852,14084,7913,6171,5451,1770,3681,3062,2190,872,1980,1349,631,1082,841,241
85,Warren & Washington Counties PUMA,50370,26180,24190,39604,22643,16961,10766,3537,7229,13462,4766,8696,10113,3713,6400,3349,1053,2296,34664,19784,14880,28121,17712,10409,6543,2072,4471,2244,1630,614,1370,1218,152,874,412,462
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,32589,16044,16545,26395,14319,12076,6194,1725,4469,19396,9151,10245,16155,7928,8227,3241,1223,2018,12900,6729,6171,10010,6227,3783,2890,502,2388,293,164,129,230,164,66,63,0,63
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,37385,17935,19450,30711,15315,15396,6674,2620,4054,22122,10163,11959,19569,9089,10480,2553,1074,1479,13269,6643,6626,9998,5282,4716,3271,1361,1910,1994,1129,865,1144,944,200,850,185,665
88,Onondaga County (Central)--Syracuse City PUMA,39986,19912,20074,31628,16414,15214,8358,3498,4860,15144,7077,8067,12210,6146,6064,2934,931,2003,20355,10964,9391,16179,9059,7120,4176,1905,2271,4487,1871,2616,3239,1209,2030,1248,662,586
89,Westchester County (Central)--White Plains City PUMA,52118,26623,25495,45457,24469,20988,6661,2154,4507,37168,17789,19379,31841,15846,15995,5327,1943,3384,14437,8426,6011,13103,8215,4888,1334,211,1123,513,408,105,513,408,105,0,0,0
