,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,2210,1775,435,1882,1447,435,328,328,0,632,278,354,632,278,354,0,0,0,1268,1187,81,991,910,81,277,277,0,310,310,0,259,259,0,51,51,0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1737,226,1511,1201,146,1055,536,80,456,1206,146,1060,828,146,682,378,0,378,531,80,451,373,0,373,158,80,78,0,0,0,0,0,0,0,0,0
88,Onondaga County (Central)--Syracuse City PUMA,860,593,267,822,593,229,38,0,38,0,0,0,0,0,0,0,0,0,790,561,229,790,561,229,0,0,0,70,32,38,32,32,0,38,0,38
89,Westchester County (Central)--White Plains City PUMA,6869,3328,3541,5027,2899,2128,1842,429,1413,2558,522,2036,2014,522,1492,544,0,544,2946,1603,1343,2077,1603,474,869,0,869,1365,1203,162,936,774,162,429,429,0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2991,1068,1923,2072,850,1222,919,218,701,631,0,631,459,0,459,172,0,172,1887,751,1136,1140,533,607,747,218,529,473,317,156,473,317,156,0,0,0
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",8046,4896,3150,7483,4842,2641,563,54,509,2174,1051,1123,2005,1051,954,169,0,169,3926,2554,1372,3532,2500,1032,394,54,340,1946,1291,655,1946,1291,655,0,0,0
92,Cattaraugus & Allegany Counties PUMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Oswego County PUMA,80,80,0,0,0,0,80,80,0,80,80,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",9182,5709,3473,7691,4699,2992,1491,1010,481,1720,788,932,1521,667,854,199,121,78,5394,3045,2349,4353,2343,2010,1041,702,339,2068,1876,192,1817,1689,128,251,187,64
95,Monroe County (East) PUMA,683,275,408,358,275,83,325,0,325,83,0,83,83,0,83,0,0,0,600,275,325,275,275,0,325,0,325,0,0,0,0,0,0,0,0,0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5083,3168,1915,3492,2782,710,1591,386,1205,902,491,411,902,491,411,0,0,0,2923,1629,1294,1542,1243,299,1381,386,995,1258,1048,210,1048,1048,0,210,0,210
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3067,1807,1260,2592,1807,785,475,0,475,495,0,495,495,0,495,0,0,0,139,139,0,139,139,0,0,0,0,2433,1668,765,1958,1668,290,475,0,475
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2446,1628,818,1822,1314,508,624,314,310,467,169,298,467,169,298,0,0,0,900,380,520,467,257,210,433,123,310,1079,1079,0,888,888,0,191,191,0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",3448,1442,2006,2720,826,1894,728,616,112,1248,0,1248,1248,0,1248,0,0,0,1666,908,758,938,292,646,728,616,112,534,534,0,534,534,0,0,0,0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",2299,1178,1121,1778,1178,600,521,0,521,413,210,203,347,210,137,66,0,66,1724,838,886,1301,838,463,423,0,423,162,130,32,130,130,0,32,0,32
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2718,1991,727,2579,1991,588,139,0,139,2718,1991,727,2579,1991,588,139,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Chautauqua County PUMA,210,179,31,210,179,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,179,179,0,179,179,0,0,0,0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,2951,1445,1506,2896,1445,1451,55,0,55,1588,330,1258,1533,330,1203,55,0,55,1363,1115,248,1363,1115,248,0,0,0,0,0,0,0,0,0,0,0,0
104,Erie County (West Central)--Buffalo City (East) PUMA,561,308,253,379,308,71,182,0,182,0,0,0,0,0,0,0,0,0,490,308,182,308,308,0,182,0,182,71,0,71,71,0,71,0,0,0
105,Genesee & Orleans Counties PUMA,305,305,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,305,305,0,0,0,0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3143,1090,2053,2559,1090,1469,584,0,584,508,70,438,453,70,383,55,0,55,2346,824,1522,1817,824,993,529,0,529,289,196,93,289,196,93,0,0,0
