,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
97,Rensselaer County--Troy City PUMA,469,214,255,411,156,255,58,58,0,109,58,51,51,0,51,58,58,0,360,156,204,360,156,204,0,0,0,0,0,0,0,0,0,0,0,0
98,Tompkins County PUMA,2095,927,1168,1733,717,1016,362,210,152,1866,823,1043,1608,717,891,258,106,152,229,104,125,125,0,125,104,104,0,0,0,0,0,0,0,0,0,0
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2219,1356,863,1615,1293,322,604,63,541,538,362,176,538,362,176,0,0,0,1681,994,687,1077,931,146,604,63,541,0,0,0,0,0,0,0,0,0
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,2226,709,1517,1362,673,689,864,36,828,718,0,718,445,0,445,273,0,273,1508,709,799,917,673,244,591,36,555,0,0,0,0,0,0,0,0,0
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,596,435,161,435,435,0,161,0,161,0,0,0,0,0,0,0,0,0,435,435,0,435,435,0,0,0,0,161,0,161,0,0,0,161,0,161
102,Columbia & Greene Counties PUMA,475,218,257,446,218,228,29,0,29,382,177,205,353,177,176,29,0,29,41,41,0,41,41,0,0,0,0,52,0,52,52,0,52,0,0,0
103,Madison & Cortland Counties PUMA,150,0,150,132,0,132,18,0,18,0,0,0,0,0,0,0,0,0,150,0,150,132,0,132,18,0,18,0,0,0,0,0,0,0,0,0
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,10362,4029,6333,8833,3731,5102,1529,298,1231,6412,2372,4040,5387,2142,3245,1025,230,795,3483,1296,2187,3085,1228,1857,398,68,330,467,361,106,361,361,0,106,0,106
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,353,0,353,353,0,353,0,0,0,0,0,0,0,0,0,0,0,0,353,0,353,353,0,353,0,0,0,0,0,0,0,0,0,0,0,0
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",36,36,0,36,36,0,0,0,0,36,36,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,1883,838,1045,1441,669,772,442,169,273,1006,560,446,740,391,349,266,169,97,877,278,599,701,278,423,176,0,176,0,0,0,0,0,0,0,0,0
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",108,90,18,84,66,18,24,24,0,66,66,0,66,66,0,0,0,0,18,0,18,18,0,18,0,0,0,24,24,0,0,0,0,24,24,0
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,856,508,348,706,508,198,150,0,150,264,135,129,135,135,0,129,0,129,373,175,198,373,175,198,0,0,0,219,198,21,198,198,0,21,0,21
110,Livingston & Wyoming Counties PUMA,56,56,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
